"","np_id","target_id","activity_type_grouped","activity_relation","activity_type","activity_value","activity_units","assay_organism","assay_tax_id","assay_strain","assay_tissue","assay_cell_type","ref_id","ref_id_type"
"24","NPC193666","NPT106","EC50","=","EC50",53100,"nM","n.a.","n.a.","n.a.","n.a.","HepG2","525420","PMID"
"25","NPC210434","NPT65","IC50","=","IC50",6.2,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","549960","PMID"
"26","NPC87394","NPT4018","IC50","=","IC50",300,"nM","n.a.","n.a.","n.a.","n.a.","HepG2","478301","PMID"
"27","NPC193666","NPT106","EC50","=","EC50",53100,"nM","n.a.","n.a.","n.a.","n.a.","HepG2","525420","PMID"
"28","NPC30515","NPT20529","IC50","=","IC50",3.1,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","457256","PMID"
"29","NPC150383","NPT65","IC50",">","IC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","529938","PMID"
"30","NPC482128","NPT65","IC50","=","IC50",3600,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","29280632","PMID"
"31","NPC480165","NPT20529","IC50","=","IC50",9400,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2 2.2.15","10075784","PMID"
"32","NPC255566","NPT106","EC50","=","EC50",47600,"nM","n.a.","n.a.","n.a.","n.a.","HepG2","540214","PMID"
"33","NPC278648","NPT65","IC50","=","IC50",9.1,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","468723","PMID"
"34","NPC249583","NPT65","IC50","=","IC50",4230,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","491438","PMID"
"35","NPC210434","NPT65","IC50","=","IC50",6.2,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","549960","PMID"
"36","NPC123526","NPT106","EC50","=","EC50",33900,"nM","n.a.","n.a.","n.a.","n.a.","HepG2","487764","PMID"
"37","NPC231680","NPT65","IC50",">","IC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","469177","PMID"
"38","NPC480165","NPT20529","IC50","=","IC50",9400,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2 2.2.15","10075784","PMID"
"39","NPC208197","NPT65","IC50","=","IC50",30000,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","572098","PMID"
"40","NPC210089","NPT963","IC50",">","IC50",1440000,"nM","Hepatitis B virus","10407","n.a.","n.a.","HepG2 2.2.15","478587","PMID"
"41","NPC249583","NPT65","IC50","=","IC50",4230,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","491438","PMID"
"42","NPC32643","NPT544","Others","=","FC",1.1,"n.a.","Homo sapiens","9606","n.a.","n.a.","HepG2","548165","PMID"
"43","NPC169387","NPT963","IC50",">","IC50",3400000,"nM","Hepatitis B virus","10407","n.a.","n.a.","HepG2 2.2.15","450825","PMID"
"44","NPC266383","NPT963","Others","=","Activity",30.9,"%","Hepatitis B virus","10407","n.a.","n.a.","HepG2","532211","PMID"
